7.747,21.5813,-2.26483
7.09408,20.8131,-2.30028
6.42975,20.0197,-2.30237
5.8094,19.2347,-2.30278
5.14912,18.4581,-2.30198
4.48471,17.6921,-2.30819
4.55727,16.6771,-0.914824
5.21116,15.8278,-0.904393
5.88032,14.9862,-0.897124
6.54868,14.2326,-0.894654
7.21948,13.4275,-0.898601
7.89008,12.6343,-0.90915
8.5782,11.8123,-0.902469
9.48393,12.3333,0.863474
10.0979,13.2153,0.869956
10.7516,14.0306,0.89078
11.3789,14.8816,0.910411
11.8298,15.8095,2.16859
11.2662,16.6512,2.16638
10.7044,17.506,2.17917
10.0934,18.3202,2.18903
9.45715,19.1545,2.18948
8.81989,19.9988,2.19433
8.16975,20.8457,2.19405
